"Country or Area","Year(s)","Variant","Value"
"French Polynesia","2010-2015","Medium","76.14"
"Gabon","2010-2015","Medium","63.35"
"Gambia","2010-2015","Medium","60.32"
"Geographic regions","2010-2015","Medium",""
"Georgia","2010-2015","Medium","72.31"
"Germany","2010-2015","Medium","80.44"
"Ghana","2010-2015","Medium","61.82"
"Gibraltar","2010-2015","Medium",""
"Greece","2010-2015","Medium","81.08"
"Greenland","2010-2015","Medium",""
"Grenada","2010-2015","Medium","72.6"
"Guadeloupe","2010-2015","Medium","80.56"
"Guam","2010-2015","Medium","78.5"
"Guatemala","2010-2015","Medium","72.44"
"Guinea","2010-2015","Medium","58.01"
"Guinea-Bissau","2010-2015","Medium","55.94"
"Guyana","2010-2015","Medium","68.69"
"Haiti","2010-2015","Medium","61.41"
"High-income countries","2010-2015","Medium","80.29"
"Holy See","2010-2015","Medium",""
"Honduras","2010-2015","Medium","73.94"
"Hungary","2010-2015","Medium","75.25"
"Iceland","2010-2015","Medium","82.19"
"India","2010-2015","Medium","67.77"
"Indonesia","2010-2015","Medium","70.01"
"Iran (Islamic Republic of)","2010-2015","Medium","75.04"
"Iraq","2010-2015","Medium","69.4"
"Ireland","2010-2015","Medium","80.61"
"Isle of Man","2010-2015","Medium",""
"Israel","2010-2015","Medium","81.91"
"Italy","2010-2015","Medium","82.36"
"Jamaica","2010-2015","Medium","73.97"
"Japan","2010-2015","Medium","83.32"
"Jordan","2010-2015","Medium","73.81"
"Kazakhstan","2010-2015","Medium","69.07"
"Kenya","2010-2015","Medium","62.92"
"Kiribati","2010-2015","Medium","66.54"
"Kuwait","2010-2015","Medium","74.86"
"Kyrgyzstan","2010-2015","Medium","70.27"
"Land-locked Developing Countries (LLDC)","2010-2015","Medium","62.81"
"Lao People's Democratic Republic","2010-2015","Medium","65.49"
"Latin America and the Caribbean","2010-2015","Medium","74.44"
"Latin America and the Caribbean","2010-2015","Medium","74.44"
"Latvia","2010-2015","Medium","74.13"
"Least developed countries","2010-2015","Medium","62.44"
"Lebanon","2010-2015","Medium","78.64"
"Lesotho","2010-2015","Medium","48.15"
"Less developed regions","2010-2015","Medium","69.14"
"Less developed regions, excluding China","2010-2015","Medium","67.52"
"Less developed regions, excluding least developed countries","2010-2015","Medium","70.51"
"Liberia","2010-2015","Medium","60.73"
"Libya","2010-2015","Medium","71.74"
"Liechtenstein","2010-2015","Medium",""
"Lithuania","2010-2015","Medium","73.99"
"Low-income countries","2010-2015","Medium","61.05"
"Lower-middle-income countries","2010-2015","Medium","66.67"
"Luxembourg","2010-2015","Medium","81.14"
"Madagascar","2010-2015","Medium","64.5"
"Malawi","2010-2015","Medium","59.56"
"Malaysia","2010-2015","Medium","74.96"
"Maldives","2010-2015","Medium","76.82"
"Mali","2010-2015","Medium","56.23"
"Malta","2010-2015","Medium","81.45"
"Marshall Islands","2010-2015","Medium",""
"Martinique","2010-2015","Medium","81.2"
"Mauritania","2010-2015","Medium","63.21"
"Mauritius","2010-2015","Medium","74.14"
"Mayotte","2010-2015","Medium","79.34"
"Melanesia","2010-2015","Medium","64.07"
"Mexico","2010-2015","Medium","74.94"
"Micronesia","2010-2015","Medium","71.82"
"Micronesia (Fed. States of)","2010-2015","Medium","66.89"
"Middle Africa","2010-2015","Medium","56.99"
"Middle-income countries","2010-2015","Medium","69.95"
"Monaco","2010-2015","Medium",""
"Mongolia","2010-2015","Medium","68.47"
"Montenegro","2010-2015","Medium","76.08"
"Montserrat","2010-2015","Medium",""
"More developed regions","2010-2015","Medium","78.43"
"Morocco","2010-2015","Medium","75.03"
"Mozambique","2010-2015","Medium","54.21"
"Myanmar","2010-2015","Medium","64.68"
"Namibia","2010-2015","Medium","60.39"
"Nauru","2010-2015","Medium",""
"Nepal","2010-2015","Medium","68.61"
"Netherlands","2010-2015","Medium","81.31"
"New Caledonia","2010-2015","Medium","76.33"
"New Zealand","2010-2015","Medium","81.32"
"Nicaragua","2010-2015","Medium","73.1"
"Niger","2010-2015","Medium","59.16"
"Nigeria","2010-2015","Medium","51.95"
"Niue","2010-2015","Medium",""
"No income group available","2010-2015","Medium","78.42"
"North Macedonia","2010-2015","Medium","75.16"
"Northern Africa","2010-2015","Medium","71.17"
"Northern Africa and Western Asia","2010-2015","Medium","72.31"
"Northern America","2010-2015","Medium","79.23"
"Northern America","2010-2015","Medium","79.23"
"Northern Europe","2010-2015","Medium","80.47"
"Northern Mariana Islands","2010-2015","Medium",""
"Norway","2010-2015","Medium","81.61"
"Oceania","2010-2015","Medium","77.35"
"Oceania (excluding Australia and New Zealand)","2010-2015","Medium","64.99"
"Oman","2010-2015","Medium","76.22"
"Pakistan","2010-2015","Medium","66.02"
"Palau","2010-2015","Medium",""
"Panama","2010-2015","Medium","77.29"
"Papua New Guinea","2010-2015","Medium","62.73"
"Paraguay","2010-2015","Medium","73.16"
"Peru","2010-2015","Medium","75.11"
"Philippines","2010-2015","Medium","70.23"
"Poland","2010-2015","Medium","77.15"
"Polynesia","2010-2015","Medium","73.67"
"Portugal","2010-2015","Medium","80.62"
"Puerto Rico","2010-2015","Medium","79.14"
"Qatar","2010-2015","Medium","79.48"
"Republic of Korea","2010-2015","Medium","81.27"
"Republic of Moldova","2010-2015","Medium","70.97"
"Réunion","2010-2015","Medium","79.54"
"Romania","2010-2015","Medium","74.94"
"Russian Federation","2010-2015","Medium","70.27"
"Rwanda","2010-2015","Medium","65.79"
"Saint Helena","2010-2015","Medium",""
"Saint Kitts and Nevis","2010-2015","Medium",""
"Saint Lucia","2010-2015","Medium","75.2"
"Saint Pierre and Miquelon","2010-2015","Medium",""
"Saint Vincent and the Grenadines","2010-2015","Medium","71.89"
"Saint-Barthélemy","2010-2015","Medium",""
"Saint-Martin (French part)","2010-2015","Medium",""
"Samoa","2010-2015","Medium","72.25"
"San Marino","2010-2015","Medium",""
"Sao Tome and Principe","2010-2015","Medium","68.49"
"Saudi Arabia","2010-2015","Medium","74.38"
"Senegal","2010-2015","Medium","65.74"
"Serbia","2010-2015","Medium","74.75"
"Seychelles","2010-2015","Medium","73.07"
"Sierra Leone","2010-2015","Medium","51.42"
"Singapore","2010-2015","Medium","82.3"
"Sint Maarten (Dutch part)","2010-2015","Medium",""
"Slovakia","2010-2015","Medium","76.23"
"Slovenia","2010-2015","Medium","80.14"
"Small Island Developing States (SIDS)","2010-2015","Medium","71"
"Solomon Islands","2010-2015","Medium","71.43"
"Somalia","2010-2015","Medium","54.86"
"South Africa","2010-2015","Medium","60.95"
"South America","2010-2015","Medium","74.68"
"South Sudan","2010-2015","Medium","56.06"
"South-Eastern Asia","2010-2015","Medium","71.17"
"Southern Africa","2010-2015","Medium","60.34"
"Southern Asia","2010-2015","Medium","67.98"
"Southern Europe","2010-2015","Medium","81.16"
"Spain","2010-2015","Medium","82.51"
"Sri Lanka","2010-2015","Medium","75.89"
"State of Palestine","2010-2015","Medium","73.09"
"Sub-Saharan Africa","2010-2015","Medium","57.85"
"Sudan","2010-2015","Medium","63.76"
"Suriname","2010-2015","Medium","70.93"
"Sustainable Development Goal (SDG) regions","2010-2015","Medium",""
"Sweden","2010-2015","Medium","81.92"
"Switzerland","2010-2015","Medium","82.69"
"Syrian Arab Republic","2010-2015","Medium","69.87"
"Tajikistan","2010-2015","Medium","69.39"
"Thailand","2010-2015","Medium","75.18"
"Timor-Leste","2010-2015","Medium","67.67"
"Togo","2010-2015","Medium","59.08"
"Tokelau","2010-2015","Medium",""
"Tonga","2010-2015","Medium","70.31"
"Trinidad and Tobago","2010-2015","Medium","72.48"
"Tunisia","2010-2015","Medium","75.45"
"Turkey","2010-2015","Medium","75.59"
"Turkmenistan","2010-2015","Medium","67.3"
"Turks and Caicos Islands","2010-2015","Medium",""
"Tuvalu","2010-2015","Medium",""
"Uganda","2010-2015","Medium","59.46"
"Ukraine","2010-2015","Medium","70.91"
"UN development groups","2010-2015","Medium",""
"United Arab Emirates","2010-2015","Medium","76.79"
"United Kingdom","2010-2015","Medium","80.87"
"United Republic of Tanzania","2010-2015","Medium","60.91"
"United States of America","2010-2015","Medium","78.94"
"United States Virgin Islands","2010-2015","Medium","79.41"
"Upper-middle-income countries","2010-2015","Medium","74.06"
"Uruguay","2010-2015","Medium","77.05"
"Uzbekistan","2010-2015","Medium","70.23"
"Vanuatu","2010-2015","Medium","69.49"
"Venezuela (Bolivarian Republic of)","2010-2015","Medium","73.07"
"Viet Nam","2010-2015","Medium","74.96"
"Wallis and Futuna Islands","2010-2015","Medium",""
"Western Africa","2010-2015","Medium","55.06"
"Western Asia","2010-2015","Medium","73.41"
"Western Europe","2010-2015","Medium","81.09"
"Western Sahara","2010-2015","Medium","68.41"
"World","2010-2015","Medium","70.88"
"World Bank income groups","2010-2015","Medium",""
"Yemen","2010-2015","Medium","66"
"Zambia","2010-2015","Medium","59.29"
"Zimbabwe","2010-2015","Medium","56.71"

