"Country or Area","Year","Item","Value"
"Chile","2017","Gross Domestic Product (GDP)","15037.350280537"
"Chile","2015","Gross Domestic Product (GDP)","13574.1718307247"
"China, Hong Kong SAR","2017","Gross Domestic Product (GDP)","46765.6530388338"
"China, Hong Kong SAR","2015","Gross Domestic Product (GDP)","43053.9653238532"
"China, Macao Special Administrative Region","2017","Gross Domestic Product (GDP)","81208.8719565102"
"China, Macao Special Administrative Region","2015","Gross Domestic Product (GDP)","75341.360464169"
"China, People's Republic of","2017","Gross Domestic Product (GDP)","8545.66215783435"
"China, People's Republic of","2015","Gross Domestic Product (GDP)","7829.95988638723"
"Colombia","2017","Gross Domestic Product (GDP)","6374.7884013498"
"Colombia","2015","Gross Domestic Product (GDP)","6175.87613151291"
"Comoros","2017","Gross Domestic Product (GDP)","1308.55117537942"
"Comoros","2015","Gross Domestic Product (GDP)","1271.05761295642"
"Congo","2017","Gross Domestic Product (GDP)","2148.2344962002"
"Congo","2015","Gross Domestic Product (GDP)","2284.04400236033"
"Cook Islands","2017","Gross Domestic Product (GDP)","19741.1889676838"
"Cook Islands","2015","Gross Domestic Product (GDP)","17182.6147660162"
"Costa Rica","2017","Gross Domestic Product (GDP)","11752.543601733"
"Costa Rica","2015","Gross Domestic Product (GDP)","11299.1361770592"
"Côte d'Ivoire","2017","Gross Domestic Product (GDP)","1561.03872199575"
"Côte d'Ivoire","2015","Gross Domestic Product (GDP)","1425.95192404214"
"Croatia","2017","Gross Domestic Product (GDP)","13225.2585884675"
"Croatia","2015","Gross Domestic Product (GDP)","11701.4173583124"
"Cuba","2017","Gross Domestic Product (GDP)","8541.21443968007"
"Cuba","2015","Gross Domestic Product (GDP)","7700.4289436438"
"Curaçao","2017","Gross Domestic Product (GDP)","19238.8075708554"
"Curaçao","2015","Gross Domestic Product (GDP)","19718.2978394878"
"Cyprus","2017","Gross Domestic Product (GDP)","26483.8779882566"
"Cyprus","2015","Gross Domestic Product (GDP)","23323.3721313605"
"Czechia","2017","Gross Domestic Product (GDP)","20290.6545584226"
"Czechia","2015","Gross Domestic Product (GDP)","17623.1434919152"
"Democratic People's Republic of Korea","2017","Gross Domestic Product (GDP)","686.340258016759"
"Democratic People's Republic of Korea","2015","Gross Domestic Product (GDP)","649.855656002061"
"Democratic Republic of the Congo","2017","Gross Domestic Product (GDP)","462.445160674736"
"Democratic Republic of the Congo","2015","Gross Domestic Product (GDP)","497.316613733383"
"Denmark","2017","Gross Domestic Product (GDP)","57467.0885267466"
"Denmark","2015","Gross Domestic Product (GDP)","53206.0583312345"
"Djibouti","2017","Gross Domestic Product (GDP)","2930.69696313399"
"Djibouti","2015","Gross Domestic Product (GDP)","2675.60537466251"
"Dominica","2017","Gross Domestic Product (GDP)","7274.72133332919"
"Dominica","2015","Gross Domestic Product (GDP)","7597.73583060042"
"Dominican Republic","2017","Gross Domestic Product (GDP)","7230.14576831508"
"Dominican Republic","2015","Gross Domestic Product (GDP)","6691.7172632792"
"Ecuador","2017","Gross Domestic Product (GDP)","6213.50127649921"
"Ecuador","2015","Gross Domestic Product (GDP)","6124.49164262072"
"Egypt","2017","Gross Domestic Product (GDP)","2023.33115783562"
"Egypt","2015","Gross Domestic Product (GDP)","3437.21122973619"
"El Salvador","2017","Gross Domestic Product (GDP)","3902.23575771674"
"El Salvador","2015","Gross Domestic Product (GDP)","3705.57762029646"
"Equatorial Guinea","2017","Gross Domestic Product (GDP)","9918.89928272345"
"Equatorial Guinea","2015","Gross Domestic Product (GDP)","11274.9285038777"
"Eritrea","2017","Gross Domestic Product (GDP)","1737.04003008679"
"Eritrea","2015","Gross Domestic Product (GDP)","1328.85713097319"
"Estonia","2017","Gross Domestic Product (GDP)","20357.2113278211"
"Estonia","2015","Gross Domestic Product (GDP)","17523.3225572442"
"Ethiopia","2017","Gross Domestic Product (GDP)","721.662022804892"
"Ethiopia","2015","Gross Domestic Product (GDP)","625.560284122339"
"Fiji","2017","Gross Domestic Product (GDP)","6101.10373723836"
"Fiji","2015","Gross Domestic Product (GDP)","5390.68555171841"
"Finland","2017","Gross Domestic Product (GDP)","46279.784908222"
"Finland","2015","Gross Domestic Product (GDP)","42798.7862241111"
"France","2017","Gross Domestic Product (GDP)","38683.9182779343"
"France","2015","Gross Domestic Product (GDP)","36611.7539123875"
"French Polynesia","2017","Gross Domestic Product (GDP)","20593.643677165"
"French Polynesia","2015","Gross Domestic Product (GDP)","19491.8971968391"
"Gabon","2017","Gross Domestic Product (GDP)","7230.38936770623"
"Gabon","2015","Gross Domestic Product (GDP)","7379.16192787634"
"Gambia","2017","Gross Domestic Product (GDP)","679.778472752176"
"Gambia","2015","Gross Domestic Product (GDP)","660.723445466416"
"Georgia","2017","Gross Domestic Product (GDP)","4051.83917145302"
"Georgia","2015","Gross Domestic Product (GDP)","3715.95498003435"
"Germany","2017","Gross Domestic Product (GDP)","44348.8347426975"
"Germany","2015","Gross Domestic Product (GDP)","41088.8415808709"
"Ghana","2017","Gross Domestic Product (GDP)","2025.82030886861"
"Ghana","2015","Gross Domestic Product (GDP)","1765.99366440108"
"Greece","2017","Gross Domestic Product (GDP)","19262.0129014449"
"Greece","2015","Gross Domestic Product (GDP)","18442.3611289532"
"Greenland","2017","Gross Domestic Product (GDP)","50046.1168002227"
"Greenland","2015","Gross Domestic Product (GDP)","44328.592963133"
"Grenada","2017","Gross Domestic Product (GDP)","10152.8366734612"
"Grenada","2015","Gross Domestic Product (GDP)","9096.87079126499"
"Guatemala","2017","Gross Domestic Product (GDP)","4470.57763279182"
"Guatemala","2015","Gross Domestic Product (GDP)","3923.56563109131"
"Guinea","2017","Gross Domestic Product (GDP)","821.623939716093"
"Guinea","2015","Gross Domestic Product (GDP)","769.256011304591"
"Guinea-Bissau","2017","Gross Domestic Product (GDP)","738.550285851862"
"Guinea-Bissau","2015","Gross Domestic Product (GDP)","602.944677244278"
"Guyana","2017","Gross Domestic Product (GDP)","4586.05162759501"
"Guyana","2015","Gross Domestic Product (GDP)","4142.52222506067"
"Haiti","2017","Gross Domestic Product (GDP)","775.892195950196"
"Haiti","2015","Gross Domestic Product (GDP)","781.152204102262"
"Honduras","2017","Gross Domestic Product (GDP)","2449.96817215322"
"Honduras","2015","Gross Domestic Product (GDP)","2302.2040020358"
"Hungary","2017","Gross Domestic Product (GDP)","14544.0038343509"
"Hungary","2015","Gross Domestic Product (GDP)","12735.8071276667"
"Iceland","2017","Gross Domestic Product (GDP)","73246.256878408"
"Iceland","2015","Gross Domestic Product (GDP)","52655.4738262186"
"India","2017","Gross Domestic Product (GDP)","1960.95957932798"
"India","2015","Gross Domestic Product (GDP)","1638.55640239958"
"Indonesia","2017","Gross Domestic Product (GDP)","3836.84021352042"
"Indonesia","2015","Gross Domestic Product (GDP)","3331.695118502"
"Iran, Islamic Republic of","2017","Gross Domestic Product (GDP)","5714.06867614219"
"Iran, Islamic Republic of","2015","Gross Domestic Product (GDP)","5012.42148349216"
"Iraq","2017","Gross Domestic Product (GDP)","5076.69187606509"
"Iraq","2015","Gross Domestic Product (GDP)","4688.31893793537"
"Ireland","2017","Gross Domestic Product (GDP)","70617.1706280359"
"Ireland","2015","Gross Domestic Product (GDP)","62655.4564539435"
"Israel","2017","Gross Domestic Product (GDP)","42850.5484783091"
"Israel","2015","Gross Domestic Product (GDP)","37577.6773018728"
"Italy","2017","Gross Domestic Product (GDP)","32333.7184340369"
"Italy","2015","Gross Domestic Product (GDP)","30306.1221251231"
"Jamaica","2017","Gross Domestic Product (GDP)","5069.19076558001"
"Jamaica","2015","Gross Domestic Product (GDP)","4910.5351761806"
"Japan","2017","Gross Domestic Product (GDP)","38116.4446370771"
"Japan","2015","Gross Domestic Product (GDP)","34296.7618167727"
"Jordan","2017","Gross Domestic Product (GDP)","4160.00491011122"
"Jordan","2015","Gross Domestic Product (GDP)","4092.41341314819"
"Kazakhstan","2017","Gross Domestic Product (GDP)","9225.97420759238"
"Kazakhstan","2015","Gross Domestic Product (GDP)","10493.2982321916"
"Kenya","2017","Gross Domestic Product (GDP)","1568.21162911765"
"Kenya","2015","Gross Domestic Product (GDP)","1336.88398459608"
"Kingdom of Eswatini","2017","Gross Domestic Product (GDP)","3952.88566851099"
"Kingdom of Eswatini","2015","Gross Domestic Product (GDP)","3689.51060624781"
"Kiribati","2017","Gross Domestic Product (GDP)","1625.62820106695"
"Kiribati","2015","Gross Domestic Product (GDP)","1524.76134493851"
"Kosovo","2017","Gross Domestic Product (GDP)","4049.28814623744"
"Kosovo","2015","Gross Domestic Product (GDP)","3615.34885883677"
"Kuwait","2017","Gross Domestic Product (GDP)","29470.2497385526"
"Kuwait","2015","Gross Domestic Product (GDP)","29874.0325211197"
"Kyrgyzstan","2017","Gross Domestic Product (GDP)","1244.47022112013"
"Kyrgyzstan","2015","Gross Domestic Product (GDP)","1120.66485701994"
"Lao People's Democratic Republic","2017","Gross Domestic Product (GDP)","2423.84865677646"
"Lao People's Democratic Republic","2015","Gross Domestic Product (GDP)","2134.71236333412"
"Latvia","2017","Gross Domestic Product (GDP)","15515.8905530081"
"Latvia","2015","Gross Domestic Product (GDP)","13560.7810197248"
"Lebanon","2017","Gross Domestic Product (GDP)","7829.72270245378"
"Lebanon","2015","Gross Domestic Product (GDP)","7649.83262674144"
"Lesotho","2017","Gross Domestic Product (GDP)","1232.92919484509"
"Lesotho","2015","Gross Domestic Product (GDP)","1196.95730282971"
"Liberia","2017","Gross Domestic Product (GDP)","456.245334656395"
"Liberia","2015","Gross Domestic Product (GDP)","463.873428692174"
"Libya","2017","Gross Domestic Product (GDP)","3817.24899120766"
"Libya","2015","Gross Domestic Product (GDP)","2752.38466038199"
"Liechtenstein","2017","Gross Domestic Product (GDP)","173357.518380918"
"Liechtenstein","2015","Gross Domestic Product (GDP)","167294.185740669"
"Lithuania","2017","Gross Domestic Product (GDP)","16781.7084361921"
"Lithuania","2015","Gross Domestic Product (GDP)","14118.0391276702"
"Luxembourg","2017","Gross Domestic Product (GDP)","108431.93175099"
"Luxembourg","2015","Gross Domestic Product (GDP)","101888.619236529"
"Madagascar","2017","Gross Domestic Product (GDP)","515.29330322138"
"Madagascar","2015","Gross Domestic Product (GDP)","467.23527206476"
"Malawi","2017","Gross Domestic Product (GDP)","359.232997683926"
"Malawi","2015","Gross Domestic Product (GDP)","384.072842168154"
"Malaysia","2017","Gross Domestic Product (GDP)","10254.2624855023"
"Malaysia","2015","Gross Domestic Product (GDP)","9955.24145607034"
"Maldives","2017","Gross Domestic Product (GDP)","9540.6538683931"
"Maldives","2015","Gross Domestic Product (GDP)","9033.37206273072"
"Mali","2017","Gross Domestic Product (GDP)","830.561973387134"
"Mali","2015","Gross Domestic Product (GDP)","750.903902958291"
"Malta","2017","Gross Domestic Product (GDP)","29183.5099290639"
"Malta","2015","Gross Domestic Product (GDP)","24684.9529291071"
"Marshall Islands","2017","Gross Domestic Product (GDP)","3578.31515036687"
"Marshall Islands","2015","Gross Domestic Product (GDP)","3159.21325231985"
"Mauritania","2017","Gross Domestic Product (GDP)","1649.14966373909"
"Mauritania","2015","Gross Domestic Product (GDP)","1562.0825669487"
"Mauritius","2017","Gross Domestic Product (GDP)","10485.8510872505"
"Mauritius","2015","Gross Domestic Product (GDP)","9283.60106774753"
"Mexico","2017","Gross Domestic Product (GDP)","9282.36828647477"
"Mexico","2015","Gross Domestic Product (GDP)","9605.97255503339"
"Micronesia (Federated States of)","2017","Gross Domestic Product (GDP)","3253.21418638244"
"Micronesia (Federated States of)","2015","Gross Domestic Product (GDP)","2893.61311354975"
"Monaco","2017","Gross Domestic Product (GDP)","167516.017338171"
"Monaco","2015","Gross Domestic Product (GDP)","165945.456846198"
"Mongolia","2017","Gross Domestic Product (GDP)","3671.94010833806"
"Mongolia","2015","Gross Domestic Product (GDP)","3918.58167706494"
"Montenegro","2017","Gross Domestic Product (GDP)","7738.84430051599"
"Montenegro","2015","Gross Domestic Product (GDP)","6464.70333238909"
"Montserrat","2017","Gross Domestic Product (GDP)","12030.3489685512"
"Montserrat","2015","Gross Domestic Product (GDP)","12357.8581601533"
"Morocco","2017","Gross Domestic Product (GDP)","3083.48663791179"
"Morocco","2015","Gross Domestic Product (GDP)","2918.89183579916"
"Mozambique","2017","Gross Domestic Product (GDP)","461.414753539833"
"Mozambique","2015","Gross Domestic Product (GDP)","589.859391814736"
"Myanmar","2017","Gross Domestic Product (GDP)","1245.5483528127"
"Myanmar","2015","Gross Domestic Product (GDP)","1187.2177098994"
"Namibia","2017","Gross Domestic Product (GDP)","5646.3855039798"
"Namibia","2015","Gross Domestic Product (GDP)","5032.88162114597"
"Nauru","2017","Gross Domestic Product (GDP)","12654.2971166465"
"Nauru","2015","Gross Domestic Product (GDP)","10050.3855474477"
"Nepal","2017","Gross Domestic Product (GDP)","925.985193516719"
"Nepal","2015","Gross Domestic Product (GDP)","769.986276246317"
"Netherlands","2017","Gross Domestic Product (GDP)","48989.6388157212"
"Netherlands","2015","Gross Domestic Product (GDP)","45179.0297228225"
"New Caledonia","2017","Gross Domestic Product (GDP)","34128.6340006919"
"New Caledonia","2015","Gross Domestic Product (GDP)","32362.5971589844"
"New Zealand","2017","Gross Domestic Product (GDP)","43686.5970892563"
"New Zealand","2015","Gross Domestic Product (GDP)","38458.4025143368"
"Nicaragua","2017","Gross Domestic Product (GDP)","2168.19429621214"
"Nicaragua","2015","Gross Domestic Product (GDP)","2049.84803568927"
"Niger","2017","Gross Domestic Product (GDP)","517.075144146586"
"Niger","2015","Gross Domestic Product (GDP)","482.926858410484"
"Nigeria","2017","Gross Domestic Product (GDP)","1968.68723730121"
"Nigeria","2015","Gross Domestic Product (GDP)","2730.427139224"
"Norway","2017","Gross Domestic Product (GDP)","75220.8144417452"
"Norway","2015","Gross Domestic Product (GDP)","74194.9457765917"
"Oman","2017","Gross Domestic Product (GDP)","16990.5638474656"
"Oman","2015","Gross Domestic Product (GDP)","15344.5435362551"
"Pakistan","2017","Gross Domestic Product (GDP)","1457.8301662062"
"Pakistan","2015","Gross Domestic Product (GDP)","1339.0129753156"
"Palau","2017","Gross Domestic Product (GDP)","16078.2653863432"
"Palau","2015","Gross Domestic Product (GDP)","15871.8422870082"
"Panama","2017","Gross Domestic Product (GDP)","15166.121246167"
"Panama","2015","Gross Domestic Product (GDP)","13630.3114451427"
"Papua New Guinea","2017","Gross Domestic Product (GDP)","2607.93511251973"
"Papua New Guinea","2015","Gross Domestic Product (GDP)","2832.03982922479"
"Paraguay","2017","Gross Domestic Product (GDP)","5680.58164437383"
"Paraguay","2015","Gross Domestic Product (GDP)","5406.70385708226"
"Peru","2017","Gross Domestic Product (GDP)","6701.24585155392"
"Peru","2015","Gross Domestic Product (GDP)","6227.50997454013"
"Philippines","2017","Gross Domestic Product (GDP)","2981.94259197992"
"Philippines","2015","Gross Domestic Product (GDP)","2867.14947345595"
"Poland","2017","Gross Domestic Product (GDP)","13869.0926198133"
"Poland","2015","Gross Domestic Product (GDP)","12556.669949611"
"Portugal","2017","Gross Domestic Product (GDP)","21515.0210247716"
"Portugal","2015","Gross Domestic Product (GDP)","19223.2973524416"
"Puerto Rico","2017","Gross Domestic Product (GDP)","32952.3303179507"
"Puerto Rico","2015","Gross Domestic Product (GDP)","30570.7377574214"
"Qatar","2017","Gross Domestic Product (GDP)","61264.3500173067"
"Qatar","2015","Gross Domestic Product (GDP)","63039.0634864218"
"Republic of Korea","2017","Gross Domestic Product (GDP)","31781.1233196946"
"Republic of Korea","2015","Gross Domestic Product (GDP)","28840.6934530165"
"Republic of Moldova","2017","Gross Domestic Product (GDP)","2381.89518354835"
"Republic of Moldova","2015","Gross Domestic Product (GDP)","1902.68059865491"
"Republic of North Macedonia","2017","Gross Domestic Product (GDP)","5430.8783497753"
"Republic of North Macedonia","2015","Gross Domestic Product (GDP)","4840.27197175638"
"Romania","2017","Gross Domestic Product (GDP)","10771.150493731"
"Romania","2015","Gross Domestic Product (GDP)","8928.14904659118"
"Russian Federation","2017","Gross Domestic Product (GDP)","10866.7749360994"
"Russian Federation","2015","Gross Domestic Product (GDP)","9421.87309122918"
"Rwanda","2017","Gross Domestic Product (GDP)","762.556695378684"
"Rwanda","2015","Gross Domestic Product (GDP)","728.087482338904"
"Saint Kitts and Nevis","2017","Gross Domestic Product (GDP)","19155.4317310874"
"Saint Kitts and Nevis","2015","Gross Domestic Product (GDP)","18029.3255386512"
"Saint Lucia","2017","Gross Domestic Product (GDP)","10039.7268387014"
"Saint Lucia","2015","Gross Domestic Product (GDP)","9262.25614620125"
"Saint Vincent and the Grenadines","2017","Gross Domestic Product (GDP)","7212.96018080962"
"Saint Vincent and the Grenadines","2015","Gross Domestic Product (GDP)","6920.87807380804"
"Samoa","2017","Gross Domestic Product (GDP)","4220.75337864574"
"Samoa","2015","Gross Domestic Product (GDP)","4066.31825638046"
"San Marino","2017","Gross Domestic Product (GDP)","45398.7465517913"
"San Marino","2015","Gross Domestic Product (GDP)","42643.354537855"
"Sao Tome and Principe","2017","Gross Domestic Product (GDP)","1764.90788578371"
"Sao Tome and Principe","2015","Gross Domestic Product (GDP)","1544.94021128211"
"Saudi Arabia","2017","Gross Domestic Product (GDP)","20802.468827059"
"Saudi Arabia","2015","Gross Domestic Product (GDP)","20627.9327823449"
"Senegal","2017","Gross Domestic Product (GDP)","1358.03129891872"
"Senegal","2015","Gross Domestic Product (GDP)","1218.32617541678"
"Serbia","2017","Gross Domestic Product (GDP)","6266.86651647739"
"Serbia","2015","Gross Domestic Product (GDP)","5237.25417932271"
"Seychelles","2017","Gross Domestic Product (GDP)","15590.4202804527"
"Seychelles","2015","Gross Domestic Product (GDP)","14503.2790378068"
"Sierra Leone","2017","Gross Domestic Product (GDP)","499.310895822142"
"Sierra Leone","2015","Gross Domestic Product (GDP)","592.325559617412"
"Singapore","2017","Gross Domestic Product (GDP)","58983.2646211108"
"Singapore","2015","Gross Domestic Product (GDP)","54765.0472931652"
"Sint Maarten (Dutch part)","2017","Gross Domestic Product (GDP)","25166.4897210694"
"Sint Maarten (Dutch part)","2015","Gross Domestic Product (GDP)","26681.9600932142"
"Slovakia","2017","Gross Domestic Product (GDP)","17525.5180234899"
"Slovakia","2015","Gross Domestic Product (GDP)","16273.6383682123"
"Slovenia","2017","Gross Domestic Product (GDP)","23387.5037207985"
"Slovenia","2015","Gross Domestic Product (GDP)","20804.4582205627"
"Solomon Islands","2017","Gross Domestic Product (GDP)","1885.00806320994"
"Solomon Islands","2015","Gross Domestic Product (GDP)","1756.11577878844"
"Somalia","2017","Gross Domestic Product (GDP)","102.630880233837"
"Somalia","2015","Gross Domestic Product (GDP)","105.440171281026"
"South Africa","2017","Gross Domestic Product (GDP)","6121.87666691315"
"South Africa","2015","Gross Domestic Product (GDP)","5730.9341743665"
"South Sudan","2017","Gross Domestic Product (GDP)","698.481221305932"
"South Sudan","2015","Gross Domestic Product (GDP)","1233.33449749475"
"Spain","2017","Gross Domestic Product (GDP)","28137.7079558448"
"Spain","2015","Gross Domestic Product (GDP)","25606.8127544494"
"Sri Lanka","2017","Gross Domestic Product (GDP)","4166.01489059114"
"Sri Lanka","2015","Gross Domestic Product (GDP)","3855.1737357991"
"State of Palestine","2017","Gross Domestic Product (GDP)","3397.26749953183"
"State of Palestine","2015","Gross Domestic Product (GDP)","3084.9829747905"
"Sudan","2017","Gross Domestic Product (GDP)","3038.74729941778"
"Sudan","2015","Gross Domestic Product (GDP)","2157.51064402573"
"Suriname","2017","Gross Domestic Product (GDP)","5626.71781177222"
"Suriname","2015","Gross Domestic Product (GDP)","8562.15245430255"
"Sweden","2017","Gross Domestic Product (GDP)","54573.5398319915"
"Sweden","2015","Gross Domestic Product (GDP)","51577.3907594128"
"Switzerland","2017","Gross Domestic Product (GDP)","80412.2803732278"
"Switzerland","2015","Gross Domestic Product (GDP)","81939.3429026244"
"Syrian Arab Republic","2017","Gross Domestic Product (GDP)","771.077498394505"
"Syrian Arab Republic","2015","Gross Domestic Product (GDP)","1060.7139723841"
"Tajikistan","2017","Gross Domestic Product (GDP)","806.037644901514"
"Tajikistan","2015","Gross Domestic Product (GDP)","929.093344707467"
"Thailand","2017","Gross Domestic Product (GDP)","6578.19085847505"
"Thailand","2015","Gross Domestic Product (GDP)","5840.04368088199"
"Timor-Leste","2017","Gross Domestic Product (GDP)","2000.60601821987"
"Timor-Leste","2015","Gross Domestic Product (GDP)","2585.15387836851"
"Togo","2017","Gross Domestic Product (GDP)","601.630914433481"
"Togo","2015","Gross Domestic Product (GDP)","570.478326668894"
"Tonga","2017","Gross Domestic Product (GDP)","4827.61249854183"
"Tonga","2015","Gross Domestic Product (GDP)","3973.34048305158"
"Trinidad and Tobago","2017","Gross Domestic Product (GDP)","16238.283214765"
"Trinidad and Tobago","2015","Gross Domestic Product (GDP)","18289.5872610272"
"Tunisia","2017","Gross Domestic Product (GDP)","3482.15702706939"
"Tunisia","2015","Gross Domestic Product (GDP)","3861.6436604511"
"Turkey","2017","Gross Domestic Product (GDP)","10511.6674912369"
"Turkey","2015","Gross Domestic Product (GDP)","10948.6902813221"
"Turkmenistan","2017","Gross Domestic Product (GDP)","6585.16296196259"
"Turkmenistan","2015","Gross Domestic Product (GDP)","6477.94123371101"
"Turks and Caicos Islands","2017","Gross Domestic Product (GDP)","25933.6208002155"
"Turks and Caicos Islands","2015","Gross Domestic Product (GDP)","24832.6060976627"
"Tuvalu","2017","Gross Domestic Product (GDP)","3862.13693058377"
"Tuvalu","2015","Gross Domestic Product (GDP)","3156.8763018463"
"Uganda","2017","Gross Domestic Product (GDP)","660.926348202519"
"Uganda","2015","Gross Domestic Product (GDP)","656.575506904382"
"Ukraine","2017","Gross Domestic Product (GDP)","2521.82751382832"
"Ukraine","2015","Gross Domestic Product (GDP)","2026.43916802358"
"United Arab Emirates","2017","Gross Domestic Product (GDP)","39811.6347017699"
"United Arab Emirates","2015","Gross Domestic Product (GDP)","38663.3715597083"
"United Kingdom of Great Britain and Northern Ireland","2017","Gross Domestic Product (GDP)","39957.0003114311"
"United Kingdom of Great Britain and Northern Ireland","2015","Gross Domestic Product (GDP)","44466.8161227962"
"United Republic of Tanzania: Mainland","2017","Gross Domestic Product (GDP)","1002.82155166712"
"United Republic of Tanzania: Mainland","2015","Gross Domestic Product (GDP)","946.787109608111"
"United Republic of Tanzania: Zanzibar","2017","Gross Domestic Product (GDP)","943.821010520997"
"United Republic of Tanzania: Zanzibar","2015","Gross Domestic Product (GDP)","821.44036228441"
